Name,description,Price
Bruschetta al Pomodoro,"tomato, fresh basil, olive oil & red onion on toasted pane di casa bread",16
Insalata di Finocchio e Arancio,"Fennel, orange, rocket, olive oil, balsamic vinegar & cracked pepper",18
Fish & Chips,Beer battered flathead tails with steak chips and salad,20
Beef Burger,"House-made wagyu beef pattie, lettuce, American cheese, maple bacon, egg & relish, served w/ steak chips",22
Schnitzel Burger,"Crumbed chicken breast, cheese, lettuce, tomato & chipolte mayo,served w/ steak chips",22
Risotto ai Funghi,"Spinach, mushrooms, garlic, parmesan & herbs",25
Gnocchi al Pesto,Pan-tossed gnocchi in a fresh basil pesto sauce w/ cherry tomatoes & grana padano,25
Salt & Pep er Calamari,Served on a continental salad w/ olive oil & balsamic vinegar,25
Spaghetti alle Vongole,Clams pan-tossed in a garlic & white wine sauce w/ olive oil & parsley,26
