name,description,price
Patatine- space between aioli and tomato,"thick cut potato chips, served w/ a choice of sauce - relish, aioli,tomato, chipolte or mayo",10
Patate Arrostite,Italian roasted potatoes w/ sea salt & rosemary,12
Verdure di Stagione,seasonal steamed veggies,15
Insalata Mista,"mixed lettuce, cherry tomatoes, cucumber,  red onion & vinaigrette dressing",16
Insalata di Rucola,"rocket, walnuts, Parmesan, balsamic vinegar & olive oil",17
