name,description,price
Caprese con Bufala,"sliced tomatoes w/ buffalo mozzarella, olive oil & balsamic",26
Tre Sapori,"an assortment ofItalian meatballs, arancini & bruschetta",30
Antipasto della Casa,"Italian meats, marinated vegetables, cheese, olives & focaccia bread",32
Misto di Pesce,"shallow fried calamari, garlic prawns & sauteed mussels served w/toasted bread",34
