name,description,price
Melenzana Parmigiana,"grilled eggplant, cheese & Napoli sauce served w/ potatoes & veggies",28
Pollo alla Parmigiana,"crumbed chicken breast w/ cheese & Napoli sauce, potatoes & veggies",30
Pollo Saltimbocca,"chicken, sage, prosciutto, white wine, lemon & caper sauce, potatoes & veggies",34
Tagliata di Manzo,"grilled eye fillet of beef w/ red wine jus, served w/ potatoes & veggies",45
