name,description,price
Patatine,"thick cut potato chips, served w/ a choice of sauce - relish, aioli,tomato, chipolte or mayo",10
Patate Arrostite,Italian roasted potatoes w/ sea salt & rosemary,12
Verdure di Stagione,seasonal steamed veggies,15
Insalata Mista,seasonal steamed veggies,16
Insalata di Rucola,seasonal steamed veggies,17
