name,description,price
"375ml Soft Drink (Coke, No Sugar, Sprite, Lift, Fanta)",,3.5
"1.25lt Soft Drink $5
(Coke, No Sugar, Sprite,)",,5
600ml Mount Franklin Still Water,,3.5
450ml Mount Franklin Lightly Sparkling Water,,3.5
