name,description,price
POLLO ALLA PARMIGIANA,"crumbed chicken breast w/
cheese & Napoli sauce, potatoes & veggies",29
MELENZANA PARMIGIANA,"grilled eggplant, cheese &
Napoli sauce served w/ potatoes & veggies",32
