name,description,price
PATATINE,"Thick cut potato chips served w/
relish, aioli, tomato, chipolte or mayo",10
PATATE ARROSTITE,"Italian roasted potatoes w/
sea salt and rosemary",12
INSALATA MISTA,"mixed lettuce, cherry tomatoes,
cucumber, red onion & vinaigrette dressing",16
INSALATA DI RUCOLA,"rocket, walnuts, shaved
parmesan, balsamic vinegar & olive oil",17
VERDURE DI STAGIONE,seasonal steamed veggies,15
