name,description,price
GAMBERI ALL'AGLIO,"grilled prawns w/ garlic, chilli & white wine served w/ pane di casa bread ",28
POLPETTE DI CARNE ,"Italian meatballs in a thick Napoli
sauce served w/ pane di casa bread",21
ARANCINI DI RISO,"rice balls, filled w/ cheese &
Bolognese sauce, crumbed & fried",21
CALAMARI ALLA GRIGLIA ,"shallow fried calamari served w/ a
fennel, orange & rocket salad w/ vinaigrette",25
INSALATA DI VITELLO,"tender eye fillet, grilled &
served on a gourmet salad w/ honey soy dressing",30
CALAMARI ALLA GRIGLIA,"seasoned tender grilled
calamari served on a continental salad w/ olive oil &
balsamic vinegar",27
