name,description,price
TIRAMISU',"a Tuscan style trifle w/ mascarpone,
espresso coffee, strega & marsala liquored sponge",15
NUTELLA PIZZA,"wood-fired pizza base smothered
w/ Nutella and fresh strawberries (add ice-cream $2)",15
SICILIAN CANNOLI,"a cannoli shell filled w/
chocolate-ricotta & pistacchio-ricotta",6
